id;component_type;uri;options;endpoint_type;response_id
1;STREAM;Tasty Monitored Savings Account;Designer;FROM;25253
2;SONICMQ;Kids;user-centric;FROM;55023
3;SJMS;Human withdrawal;Steel Buckinghamshire;FROM;48639
4;SJMS;Gloves Cloned payment;Vermont TCP;FROM;2006
5;SJMS;fuchsia;capacitor;FROM;75575
6;FILE;transmitting Grocery Berkshire;Senior invoice Checking Account;FROM;87822
7;SFTP;THX;context-sensitive;FROM;30409
8;SQL;Money Market Account systems Cambridgeshire;Cambridgeshire real-time Auto Loan Account;FROM;55423
9;HTTP4;success deposit Oregon;Walk grow Games;FROM;34860
10;STREAM;Outdoors haptic;Cambridgeshire Strategist digital;FROM;36699
