id;name;auto_start;off_loading;maximum_redeliveries;redelivery_delay;type;load_balancing;instances;log_level;version;created;last_modified;notes;parallel_processing;assimbly_headers
1;invoice Tasty Frozen Cheese;true;false;64749;19568;orange;true;47307;TRACE;68274;2018-01-13T22:43:41;2018-01-14T00:12:50;../fake-data/blob/hipster.txt;true;false
2;Digitized Refined;true;true;46588;21632;hardware;false;7351;DEBUG;55410;2018-01-14T01:57:38;2018-01-14T12:30:01;../fake-data/blob/hipster.txt;false;true
3;Tanzania;true;false;10524;93690;Incredible Cotton Ball;true;45075;TRACE;15224;2018-01-14T09:04:43;2018-01-13T18:31:51;../fake-data/blob/hipster.txt;false;true
4;metrics Plastic;false;true;32754;95186;online Tala;false;44517;OFF;60590;2018-01-14T03:36:36;2018-01-14T12:39:38;../fake-data/blob/hipster.txt;true;false
5;Open-architected object-oriented Response;false;false;16503;21435;infrastructures Mount;false;82493;ERROR;13689;2018-01-13T15:08:03;2018-01-14T05:52:37;../fake-data/blob/hipster.txt;true;false
6;sky blue Coordinator;true;false;12063;10108;Concrete;true;245;DEBUG;35779;2018-01-14T09:25:52;2018-01-13T20:00:06;../fake-data/blob/hipster.txt;true;true
7;invoice Response program;true;true;62238;10673;purple USB;true;33460;DEBUG;84831;2018-01-14T04:14:52;2018-01-13T17:18:05;../fake-data/blob/hipster.txt;true;true
8;Response Profound;true;true;84531;91860;lime;false;1784;OFF;34719;2018-01-13T21:03:01;2018-01-13T13:48:47;../fake-data/blob/hipster.txt;true;true
9;zero administration Triple-buffered;false;false;65727;89836;magenta parse Ergonomic;true;51586;INFO;38924;2018-01-13T21:59:43;2018-01-14T05:38:37;../fake-data/blob/hipster.txt;true;false
10;Fresh River;false;false;59111;15885;scalable;false;56026;TRACE;71951;2018-01-13T21:43:35;2018-01-13T20:50:12;../fake-data/blob/hipster.txt;false;false
